Titulares,P,CA,T,TaP,C,CP,CF,FR,FC,PI,BR,Reg,PA,P%,Eventos,partido,equipo,localizacion
Yassine Bono,1,1,0,0,0,0,0,0,0,0,0,0,0,86.7,,1,girona,local
Bernardo Espinosa,-,-,0,0,0,0,0,1,1,1,2,0,0,92.2,,1,girona,local
Juanpe Ramírez,-,-,0,0,0,0,0,1,3,4,1,0,1,90,,1,girona,local
Marc Muniesa,-,-,1,0,2,0,0,1,1,2,0,1,2,87.3,,1,girona,local
Pedro Porro,-,-,0,0,6,1,1,1,0,0,3,2,0,86.4,,1,girona,local
Álex Granell,-,-,1,0,11,4,1,4,2,1,0,4,2,81,,1,girona,local
Cristian Portu,-,-,2,0,3,2,1,2,3,0,0,2,1,61.1,,1,girona,local
Borja García,-,-,3,0,3,0,0,7,0,2,0,3,2,76.4,,1,girona,local
David Timor  73',-,-,1,0,0,0,0,1,0,2,2,0,0,88.2,,1,girona,local
Aleix García  61',-,-,1,1,2,0,0,0,0,0,0,0,0,87.8,,1,girona,local
Christian Stuani  80',-,-,3,0,0,0,0,2,5,0,0,0,1,70.6,,1,girona,local
Jordi Masip,2,0,0,0,0,0,0,0,0,0,0,0,0,26.3,,1,valladolid,visitante
Kiko Olivas,-,-,0,0,0,0,0,3,2,2,2,0,0,88.5,,1,valladolid,visitante
Javi Moyano,-,-,0,0,2,0,0,0,1,0,0,0,0,65,,1,valladolid,visitante
Fernando Calero,-,-,0,0,0,0,0,1,2,1,1,0,0,77.8,,1,valladolid,visitante
Nacho Martínez,-,-,0,0,4,1,0,0,1,4,3,2,1,60,,1,valladolid,visitante
Keko Gontán,-,-,1,0,2,0,0,4,0,1,0,0,0,84.6,,1,valladolid,visitante
Toni Villa  87',-,-,0,0,2,0,2,3,2,1,6,5,0,64.7,,1,valladolid,visitante
Anuar Mohamed  70',-,-,0,0,0,0,0,0,4,0,2,0,0,47.4,,1,valladolid,visitante
Rubén Alcaraz,-,-,1,1,5,1,0,3,3,0,0,0,1,77.1,,1,valladolid,visitante
Borja Fernández,-,-,0,0,0,0,0,0,3,1,2,0,0,65.5,,1,valladolid,visitante
Christopher Ramos  63',-,-,0,0,0,0,0,2,2,0,1,0,0,30,,1,valladolid,visitante
Pau López,1,0,0,0,0,0,0,0,0,0,0,0,0,90,,2,betis,local
Zou Feddal,-,-,2,0,1,0,0,1,2,3,1,0,2,90.8,,2,betis,local
Marc Bartra,-,-,0,0,0,0,0,1,0,1,2,1,0,95.5,,2,betis,local
Aissa Mandi,-,-,0,0,0,0,0,1,1,0,1,0,2,91,,2,betis,local
Junior Firpo,-,-,1,1,2,1,0,1,0,0,4,5,2,88.7,,2,betis,local
Ryad Boudebouz  62',-,-,5,1,2,0,0,1,0,1,0,1,1,88,,2,betis,local
Andrés Guardado,-,-,4,0,4,1,2,2,3,2,0,2,0,92.2,,2,betis,local
Francis Guerrero  73',-,-,0,0,6,0,0,1,0,1,2,1,2,91.5,,2,betis,local
William Carvalho  65',-,-,0,0,0,0,0,0,0,2,2,1,0,86.1,,2,betis,local
Sergio Canales,-,-,3,2,2,0,0,1,1,1,1,1,3,91.9,,2,betis,local
Loren Morón,-,-,4,3,1,0,1,0,0,0,0,2,1,82.4,,2,betis,local
Oier Olazábal,8,0,0,0,0,0,0,0,0,0,0,0,0,27.6,,2,levante,visitante
Toño García,-,-,0,0,2,0,1,0,0,0,0,5,0,60.9,,2,levante,visitante
Chema Rodríguez,-,-,0,0,0,0,0,0,1,2,0,0,1,72.7,,2,levante,visitante
Sergio Postigo,-,-,0,0,0,0,0,0,0,1,1,0,0,53.8,,2,levante,visitante
Coke Andújar,-,-,0,0,1,0,1,0,2,3,1,0,0,73.3,,2,levante,visitante
Cheick Doukouré  67',-,-,0,0,0,0,0,0,1,1,0,1,0,55.6,,2,levante,visitante
Enis Bardhi,-,-,0,0,3,1,0,0,3,2,3,0,1,80,,2,levante,visitante
José Luis Morales,-,-,3,3,0,0,1,3,1,2,0,3,1,92.3,,2,levante,visitante
Jason  89',-,-,1,0,1,0,0,3,0,3,0,1,1,60,,2,levante,visitante
José Campaña,-,-,0,0,3,0,0,1,0,0,0,3,0,88.9,,2,levante,visitante
Roger Martí  73',-,-,2,1,0,0,0,0,2,0,0,0,0,38.5,,2,levante,visitante
Sergio Álvarez,4,0,0,0,0,0,0,0,0,0,0,0,0,50,,3,celta,local
Hugo Mallo,-,-,1,1,9,3,1,0,1,4,0,0,2,67.9,,3,celta,local
Gustavo Cabral,-,-,1,0,0,0,0,0,3,7,0,0,0,88,,3,celta,local
Junior Alonso,-,-,1,0,2,0,1,1,3,1,1,1,0,82.9,,3,celta,local
Néstor Araujo,-,-,0,0,0,0,0,0,1,3,1,0,0,81.6,,3,celta,local
Pione Sisto  51',-,-,0,0,1,0,0,3,1,0,1,2,0,72.7,,3,celta,local
Stanislav Lobotka,-,-,1,0,3,1,0,0,0,1,0,2,2,81.6,,3,celta,local
Brais Méndez  76',-,-,2,0,5,0,3,2,1,0,1,0,1,70,,3,celta,local
Fran Beltrán,-,-,1,0,1,0,1,0,0,2,1,1,0,88.5,,3,celta,local
Maxi Gómez  90',-,-,1,0,0,0,0,2,0,0,0,0,1,66.7,,3,celta,local
Iago Aspas,-,-,2,0,2,0,1,4,2,0,0,0,4,87.9,,3,celta,local
Diego López,2,2,0,0,0,0,0,1,0,0,0,0,0,36.8,,3,espanyol,visitante
Didac Vilà,-,-,0,0,6,0,1,1,2,2,1,0,2,78,,3,espanyol,visitante
David López,-,-,0,0,0,0,0,0,0,0,1,0,0,81,,3,espanyol,visitante
Javi López,-,-,0,0,1,1,1,0,3,2,1,0,3,85.4,,3,espanyol,visitante
Mario Hermoso,-,-,2,1,0,0,0,1,2,3,0,0,0,79.4,,3,espanyol,visitante
Víctor Sánchez,-,-,2,0,1,0,1,1,2,2,2,0,0,90,,3,espanyol,visitante
Pablo Piatti  80',-,-,1,1,8,0,2,1,0,0,1,1,2,79.2,,3,espanyol,visitante
Marc Roca,-,-,0,0,0,0,0,0,3,2,2,1,1,89.7,,3,espanyol,visitante
Sergi Darder,-,-,2,0,0,0,0,1,0,0,0,0,1,78.9,,3,espanyol,visitante
Leo Baptistâo  70',-,-,1,1,0,0,1,2,1,0,1,0,0,76.5,,3,espanyol,visitante
Borja Iglesias  70',-,-,2,0,0,0,0,3,1,0,0,0,1,57.1,,3,espanyol,visitante
Sergio Asenjo,2,0,0,0,0,0,0,0,0,0,0,0,0,63.6,,4,villarreal,local
Mario Gaspar,-,-,2,1,3,1,0,1,2,2,3,0,1,77.8,,4,villarreal,local
Álvaro González,-,-,0,0,1,0,0,3,1,0,0,0,0,72.5,,4,villarreal,local
Ramiro Funes Mori,-,-,0,0,0,0,0,1,0,0,1,0,0,82.1,,4,villarreal,local
Pablo Fornals  76',-,-,1,0,0,0,0,0,0,0,0,1,2,72.4,,4,villarreal,local
Santi Cazorla  72',-,-,2,1,1,0,1,0,1,0,0,2,1,73.1,,4,villarreal,local
Santiago Cáseres,-,-,1,1,0,0,0,1,1,0,1,1,2,92.1,,4,villarreal,local
Alfonso Pedraza,-,-,2,1,6,2,0,0,3,2,2,1,1,88.9,,4,villarreal,local
Manuel Morlanes  64',-,-,0,0,0,0,0,0,1,1,2,1,0,79.4,,4,villarreal,local
Gerard Moreno,-,-,2,1,2,0,0,2,3,0,0,2,2,70.8,,4,villarreal,local
Karl Toko Ekambi,-,-,4,2,0,0,0,1,2,0,0,2,1,68,,4,villarreal,local
Gerónimo Rulli,6,2,0,0,0,0,0,0,0,0,0,0,0,48.8,,4,real_sociedad,visitante
Diego Javier Llorente,-,-,1,1,0,0,0,1,2,1,1,0,0,86,,4,real_sociedad,visitante
Theo Hernández,-,-,0,0,0,0,1,2,1,3,0,2,0,78.9,,4,real_sociedad,visitante
Héctor Moreno,-,-,0,0,0,0,0,2,2,2,0,0,0,91.1,,4,real_sociedad,visitante
Joseba Zaldua,-,-,0,0,5,2,2,3,1,3,0,2,1,87.2,,4,real_sociedad,visitante
Asier Illarramendi,-,-,1,0,0,0,1,3,0,0,0,0,0,75,,4,real_sociedad,visitante
Igor Zubeldia,-,-,1,1,0,0,1,0,0,6,1,0,0,82.9,,4,real_sociedad,visitante
Rubén Pardo  67',-,-,1,0,6,3,1,0,0,0,0,0,2,78.3,,4,real_sociedad,visitante
Mikel Oyarzabal  79',-,-,1,0,0,0,0,2,1,1,1,1,0,71.4,,4,real_sociedad,visitante
Mikel Merino  58',-,-,1,0,1,0,0,0,1,1,1,1,0,77.8,,4,real_sociedad,visitante
Willian José,-,-,1,1,1,0,0,2,2,0,0,0,3,80,,4,real_sociedad,visitante
Marc-André ter Stegen,0,0,0,0,0,0,0,0,0,0,0,1,0,91.7,,5,barcelona,local
Nélson Semedo  45',-,-,0,0,0,0,0,1,0,1,0,1,0,96.4,,5,barcelona,local
Gerard Piqué,-,-,1,0,0,0,0,0,0,0,0,0,0,92.6,,5,barcelona,local
Jordi Alba,-,-,3,1,0,0,3,1,0,1,0,0,3,90.5,,5,barcelona,local
Sergi Roberto,-,-,0,0,1,0,1,0,2,1,1,1,1,92.7,,5,barcelona,local
Samuel Umtiti,-,-,0,0,0,0,0,2,0,0,0,0,0,96.9,,5,barcelona,local
Ivan Rakitic,-,-,2,0,0,0,0,1,2,2,0,1,1,94.8,,5,barcelona,local
Sergio Busquets  84',-,-,0,0,0,0,0,4,0,0,1,0,1,92.8,,5,barcelona,local
Luis Suárez,-,-,4,1,0,0,2,0,1,0,0,0,3,73.7,,5,barcelona,local
Lionel Messi,-,-,8,4,1,1,0,3,0,0,0,6,5,81.1,,5,barcelona,local
Ousmane Dembélé  76',-,-,3,1,7,1,0,0,0,0,0,2,2,79.7,,5,barcelona,local
Fernando Pacheco,6,0,0,0,0,0,0,0,0,0,0,0,0,41.7,,5,alaves,visitante
Rubén Duarte,-,-,0,0,0,0,0,1,2,2,0,0,0,66.7,,5,alaves,visitante
Víctor Laguardia,-,-,0,0,0,0,0,0,0,3,2,0,0,54.5,,5,alaves,visitante
Guillermo Maripán,-,-,0,0,0,0,0,0,0,2,1,0,0,68.8,,5,alaves,visitante
Martín Aguirregabiria,-,-,0,0,1,0,0,0,0,3,1,2,0,47.1,,5,alaves,visitante
Ibai Gómez,-,-,0,0,1,0,1,0,0,1,1,0,1,64.7,,5,alaves,visitante
Daniel Torres  67',-,-,0,0,0,0,0,0,1,2,1,0,0,86.7,,5,alaves,visitante
Manu García,-,-,0,0,2,1,0,1,2,1,2,0,1,73.7,,5,alaves,visitante
Mubarak Wakaso,-,-,1,0,0,0,0,0,1,2,1,0,0,65.2,,5,alaves,visitante
Jony Rodríguez  67',-,-,0,0,3,0,0,1,3,0,1,0,0,75,,5,alaves,visitante
Rubén Sobrino  70',-,-,1,0,0,0,0,0,2,0,0,0,0,77.8,,5,alaves,visitante
Marko Dmitrovic,4,0,0,0,0,0,0,0,0,0,0,0,0,85,,6,eibar,local
Paulo Oliveira,-,-,0,0,0,0,0,1,0,1,4,0,0,89.7,,6,eibar,local
José Ángel,-,-,0,0,5,1,1,1,1,0,0,1,1,75.6,,6,eibar,local
Anaitz Arbilla  78',-,-,0,0,0,0,0,0,0,2,2,0,1,82.3,,6,eibar,local
Rubén Peña,-,-,2,1,14,2,2,1,0,3,1,1,2,79.3,,6,eibar,local
Pape Diop,-,-,2,1,0,0,0,3,3,0,1,2,0,75.3,,6,eibar,local
Joan Jordan,-,-,2,0,9,5,1,1,1,1,5,0,5,86.8,,6,eibar,local
Fabián Orellana,-,-,1,0,1,0,1,1,1,0,0,1,2,88.6,,6,eibar,local
Sergi Enrich,-,-,5,1,0,0,2,1,2,0,0,0,1,78.1,,6,eibar,local
Kike García  45',-,-,1,0,0,0,0,0,0,0,0,0,0,76.9,,6,eibar,local
Bebé  55',-,-,3,2,10,1,1,1,2,0,0,0,1,85.7,,6,eibar,local
Axel Werner,5,0,0,0,0,0,0,0,0,0,0,0,0,32.5,,6,huesca,visitante
Jorge Pulido,-,-,0,0,1,1,0,1,0,4,1,0,0,60,,6,huesca,visitante
Jorge Miramón,-,-,0,0,0,0,0,0,2,4,2,1,0,79.4,,6,huesca,visitante
Xabier Etxeita,-,-,0,0,0,0,0,0,0,1,0,0,0,71.4,,6,huesca,visitante
Luisinho,-,-,1,1,1,0,0,1,1,6,4,0,2,66.7,,6,huesca,visitante
Gonzalo Melero,-,-,0,0,0,0,0,2,1,0,0,0,0,82.8,,6,huesca,visitante
Damián Musto  89',-,-,1,1,0,0,0,4,4,2,3,0,0,86.4,,6,huesca,visitante
Álex Gallar  69',-,-,2,2,1,0,0,0,0,0,0,1,1,83.3,,6,huesca,visitante
Moi Gómez,-,-,2,1,1,0,0,0,0,0,2,3,0,62.5,,6,huesca,visitante
'Cucho' Hernández  76',-,-,2,1,1,0,0,1,0,0,0,2,1,63.6,,6,huesca,visitante
Samuele Longo,-,-,0,0,0,0,0,1,5,0,0,2,2,60,,6,huesca,visitante
Alberto García,3,0,0,0,0,0,0,0,0,0,0,0,0,60.9,,7,rayo,local
Chechu Dorado,-,-,0,0,0,0,0,1,0,2,0,2,0,88.2,,7,rayo,local
Tito,-,-,0,0,2,1,0,1,0,1,1,0,1,86.5,,7,rayo,local
Álex Moreno,-,-,2,0,2,0,1,0,1,0,1,0,0,80,,7,rayo,local
Abdoulaye Ba,-,-,1,1,0,0,0,0,1,2,3,0,0,91.7,,7,rayo,local
Jordi Amat,-,-,0,0,0,0,0,2,1,1,0,0,0,90.3,,7,rayo,local
Adrián Embarba,-,-,5,1,6,2,1,1,1,0,1,0,1,69.6,,7,rayo,local
Óscar Trejo,-,-,2,0,1,0,0,2,1,0,1,1,4,86,,7,rayo,local
Álvaro Medrán  67',-,-,0,0,1,0,0,2,1,1,0,0,0,83.3,,7,rayo,local
Gael Kakuta,-,-,2,0,4,1,0,0,0,1,2,2,2,73.5,,7,rayo,local
José Ángel Pozo  75',-,-,0,0,1,0,0,3,0,0,1,1,1,89.3,,7,rayo,local
Tomáš Vaclík,1,2,0,0,0,0,0,1,0,0,0,0,0,44.7,,7,sevilla,visitante
Simon Kjaer,-,-,0,0,0,0,0,0,2,0,0,0,0,93,,7,sevilla,visitante
Sergio Escudero  60',-,-,1,0,3,0,2,0,0,0,2,1,1,93.1,,7,sevilla,visitante
Gabriel Mercado,-,-,1,0,0,0,0,0,0,1,2,0,1,87.8,,7,sevilla,visitante
Sergi Gómez,-,-,0,0,0,0,0,0,1,1,2,0,0,89.4,,7,sevilla,visitante
Jesús Navas,-,-,3,1,4,1,1,0,0,0,1,2,3,78.4,,7,sevilla,visitante
Éver Banega  69',-,-,1,0,2,1,1,0,1,2,1,3,2,92.4,,7,sevilla,visitante
Pablo Sarabia  76',-,-,3,1,7,2,1,3,1,0,0,1,3,83.3,,7,sevilla,visitante
Franco Vázquez,-,-,1,1,3,0,1,0,0,0,1,0,2,79.3,,7,sevilla,visitante
Roque Mesa,-,-,0,0,1,1,0,1,5,1,1,1,0,95.7,,7,sevilla,visitante
André Silva,-,-,6,5,1,0,0,1,4,0,0,0,1,83.3,,7,sevilla,visitante
Keylor Navas,1,0,0,0,0,0,0,0,0,0,0,0,0,88.9,,8,real_madrid,local
Daniel Carvajal,-,-,2,1,3,0,1,2,0,4,2,2,0,85.3,,8,real_madrid,local
Sergio Ramos,-,-,0,0,0,0,0,1,2,1,1,0,0,96.5,,8,real_madrid,local
Nacho Fernández,-,-,0,0,0,0,0,4,1,4,2,1,0,91,,8,real_madrid,local
Marcelo,-,-,0,0,4,1,0,2,1,0,3,3,1,84.1,,8,real_madrid,local
Toni Kroos,-,-,0,0,3,0,0,4,1,2,1,2,1,98.3,,8,real_madrid,local
Marco Asensio,-,-,3,1,1,0,1,3,1,0,1,2,0,94.6,,8,real_madrid,local
Isco Alarcón  57',-,-,0,0,1,0,0,0,3,0,0,1,0,92.5,,8,real_madrid,local
Dani Ceballos  70',-,-,0,0,0,0,0,2,0,0,0,2,1,95.3,,8,real_madrid,local
Karim Benzema,-,-,1,0,0,0,1,3,0,0,2,1,1,90.9,,8,real_madrid,local
Gareth Bale  76',-,-,3,1,5,0,0,0,0,1,0,1,0,85.7,,8,real_madrid,local
David Soria,1,0,0,0,0,0,0,0,0,0,0,0,0,32.1,,8,getafe,visitante
Dakonam Djené,-,-,0,0,0,0,0,1,5,1,3,0,0,83.3,,8,getafe,visitante
Bruno González,-,-,0,0,0,0,0,0,1,1,0,0,0,70,,8,getafe,visitante
Damián Suárez,-,-,0,0,1,0,0,1,1,2,3,3,0,61.5,,8,getafe,visitante
Leandro Cabrera,-,-,0,0,2,1,0,1,1,1,0,0,1,47.6,,8,getafe,visitante
Nemanja Maksimovic,-,-,0,0,0,0,0,0,1,0,3,0,1,83.3,,8,getafe,visitante
Mauro Arambarri,-,-,1,0,0,0,0,2,5,0,3,1,2,89.5,,8,getafe,visitante
Gaku Shibasaki,-,-,1,0,1,0,0,0,2,0,0,1,0,68,,8,getafe,visitante
Amath Ndiaye  57',-,-,0,0,0,0,0,1,2,1,0,0,0,62.5,,8,getafe,visitante
Francisco Portillo  63',-,-,0,0,1,0,0,0,0,2,0,0,0,68.8,,8,getafe,visitante
Jorge Molina  70',-,-,0,0,0,0,0,2,4,0,0,0,0,57.1,,8,getafe,visitante
Neto,2,0,0,0,0,0,0,0,0,0,0,0,0,54.5,,9,valencia,local
Gabriel Paulista,-,-,1,0,0,0,0,1,0,1,0,0,1,90,,9,valencia,local
José Gayà,-,-,0,0,1,1,1,2,0,3,2,0,1,84,,9,valencia,local
Ezequiel Garay  66',-,-,0,0,0,0,0,1,1,0,1,0,0,91.5,,9,valencia,local
Cristiano Piccini,-,-,0,0,1,1,0,1,0,0,1,1,1,83.3,,9,valencia,local
Dani Parejo,-,-,2,0,2,1,1,0,1,2,3,0,2,94.4,,9,valencia,local
Carlos Soler  75',-,-,1,0,1,0,0,3,2,0,2,1,1,84.4,,9,valencia,local
Geoffrey Kondogbia,-,-,0,0,0,0,1,0,1,3,3,0,0,90.3,,9,valencia,local
Daniel Wass,-,-,3,1,2,0,0,2,1,1,1,0,3,70.3,,9,valencia,local
Rodrigo Moreno,-,-,3,1,1,1,0,0,1,1,1,0,2,67.9,,9,valencia,local
Santi Mina  66',-,-,1,0,0,0,1,2,1,0,0,0,1,63.6,,9,valencia,local
Jan Oblak,3,1,0,0,0,0,0,0,0,0,0,0,0,23.8,,9,atletico,visitante
Diego Godín,-,-,0,0,0,0,0,0,1,2,2,1,0,78.9,,9,atletico,visitante
Filipe Luis,-,-,0,0,4,0,1,0,3,0,5,2,0,79.5,,9,atletico,visitante
Stefan Savic,-,-,2,0,0,0,0,1,1,1,1,0,0,78.9,,9,atletico,visitante
Juanfran Torres,-,-,0,0,1,0,0,0,1,2,1,0,0,90,,9,atletico,visitante
Koke Resurrección,-,-,0,0,7,2,1,1,3,1,1,0,4,87.4,,9,atletico,visitante
Saúl Ñíguez,-,-,3,0,0,0,0,1,1,1,0,1,0,85,,9,atletico,visitante
Thomas Lemar  62',-,-,0,0,3,0,1,2,0,1,3,1,1,86.4,,9,atletico,visitante
Antoine Griezmann  71',-,-,0,0,0,0,1,2,0,1,1,1,2,79.4,,9,atletico,visitante
Ángel Correa  80',-,-,1,1,1,0,2,1,1,0,0,1,2,77.1,,9,atletico,visitante
Diego Costa,-,-,2,2,0,0,3,1,3,0,0,1,0,75,,9,atletico,visitante
Unai Simón,1,0,0,0,0,0,0,0,0,0,0,0,0,75,,10,athletic,local
Yeray Álvarez,-,-,2,0,0,0,0,0,3,2,0,0,0,81.8,,10,athletic,local
Óscar De Marcos  64',-,-,2,0,2,1,1,1,0,1,1,0,1,75,,10,athletic,local
Yuri Berchiche,-,-,2,0,7,0,2,3,1,1,1,0,0,83,,10,athletic,local
Peru Nolaskoain,-,-,2,1,0,0,0,0,0,2,1,0,0,91.4,,10,athletic,local
Iker Muniaín,-,-,2,1,1,0,1,3,1,1,1,0,2,96.3,,10,athletic,local
Markel Susaeta,-,-,2,0,11,7,0,1,0,1,2,1,7,71,,10,athletic,local
Dani García,-,-,0,0,0,0,0,0,2,1,2,0,0,90.4,,10,athletic,local
Unai López  75',-,-,0,0,1,0,0,1,0,0,1,1,0,94.6,,10,athletic,local
Iñaki Williams,-,-,3,1,2,1,1,1,1,0,0,2,2,81.8,,10,athletic,local
Aritz Aduriz  70',-,-,2,2,0,0,1,1,1,0,0,0,0,42.9,,10,athletic,local
Iván Cuéllar,3,0,0,0,0,0,0,0,0,0,0,0,0,45.2,,10,leganes,visitante
Raúl García C.,-,-,1,0,2,0,0,1,3,1,1,0,0,72.7,,10,leganes,visitante
Ezequiel Muñoz,-,-,1,0,0,0,0,0,1,0,1,0,0,70.6,,10,leganes,visitante
Dimitrios Siovas,-,-,1,0,0,0,0,0,0,0,0,0,0,68.4,,10,leganes,visitante
Jonathan Silva,-,-,1,1,4,2,0,1,0,1,2,0,2,50,,10,leganes,visitante
Juanfran Moreno,-,-,0,0,3,2,0,2,0,2,1,2,2,60.9,,10,leganes,visitante
Gerard Gumbau,-,-,2,0,2,1,1,0,2,1,1,0,2,75.8,,10,leganes,visitante
Nabil El Zhar  64',-,-,1,0,1,1,0,0,1,1,0,3,1,71.4,,10,leganes,visitante
Javier Eraso  57',-,-,1,0,1,0,0,2,1,1,0,0,1,89.5,,10,leganes,visitante
Rubén Pérez,-,-,0,0,0,0,0,2,1,3,2,1,0,94.1,,10,leganes,visitante
Guido Carrillo  84',-,-,3,0,0,0,0,3,1,0,0,1,0,78.8,,10,leganes,visitante
David Soria,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,,11,getafe,local
Dakonam Djené,-,-,1,0,0,0,0,0,2,1,0,1,0,47.4,,11,getafe,local
Vitorino Antunes,-,-,2,0,4,1,1,0,2,5,0,0,0,48,,11,getafe,local
Bruno González,-,-,0,0,0,0,0,0,1,1,0,0,0,61.1,,11,getafe,local
Damián Suárez,-,-,0,0,2,1,0,2,0,2,1,0,1,60,,11,getafe,local
Francisco Portillo,-,-,0,0,0,0,0,0,0,1,2,3,2,72.7,,11,getafe,local
Mauro Arambarri,-,-,0,0,1,1,0,2,2,3,0,0,0,55.6,,11,getafe,local
Iván Alejo  70',-,-,0,0,3,0,1,2,2,0,0,1,0,36.8,,11,getafe,local
Nemanja Maksimovic,-,-,1,1,0,0,1,1,1,2,2,0,0,38.5,,11,getafe,local
Ángel Rodríguez  85',-,-,1,1,1,0,0,1,2,0,1,1,1,66.7,,11,getafe,local
Jaime Mata  79',-,-,0,0,0,0,1,1,1,0,0,0,1,38.9,,11,getafe,local
Marko Dmitrovic,2,0,0,0,0,0,0,0,0,1,0,0,0,50,,11,eibar,visitante
Rubén Peña,-,-,1,0,5,2,0,1,0,1,2,2,1,66.7,,11,eibar,visitante
Paulo Oliveira,-,-,0,0,0,0,0,2,0,2,1,0,0,70,,11,eibar,visitante
José Ángel,-,-,0,0,3,0,0,0,1,0,2,0,0,53.3,,11,eibar,visitante
Anaitz Arbilla,-,-,1,0,0,0,0,0,0,1,2,0,0,63,,11,eibar,visitante
Pape Diop,-,-,2,0,0,0,0,1,3,1,1,0,0,65.9,,11,eibar,visitante
Gonzalo Escalante,-,-,0,0,0,0,0,0,2,3,3,1,1,71.4,,11,eibar,visitante
Joan Jordan  83',-,-,0,0,5,3,0,2,1,1,2,3,2,71.1,,11,eibar,visitante
Sergi Enrich,-,-,1,0,0,0,1,0,0,0,0,0,0,68.9,,11,eibar,visitante
Kike García  74',-,-,2,0,0,0,1,2,2,0,0,0,1,66.7,,11,eibar,visitante
Pere Milla  66',-,-,1,0,4,1,2,2,1,0,2,2,1,57.9,,11,eibar,visitante
Iván Cuéllar,4,0,0,0,0,0,0,1,0,0,0,0,0,72.5,,12,leganes,local
Ezequiel Muñoz  83',-,-,1,0,0,0,0,0,1,0,1,0,0,85,,12,leganes,local
Dimitrios Siovas,-,-,2,0,1,0,1,0,0,2,2,0,0,85.3,,12,leganes,local
Juanfran Moreno,-,-,0,0,10,4,0,0,1,1,0,2,0,78.2,,12,leganes,local
Jonathan Silva,-,-,2,0,16,6,2,1,1,1,1,0,5,88.7,,12,leganes,local
Gerard Gumbau,-,-,2,0,1,0,0,2,1,1,2,0,2,78.7,,12,leganes,local
Nabil El Zhar,-,-,3,2,5,3,1,0,1,0,0,0,3,73.5,,12,leganes,local
Javier Eraso  45',-,-,0,0,1,0,0,0,0,1,1,0,0,86.7,,12,leganes,local
Rubén Pérez,-,-,1,1,0,0,1,1,1,2,0,0,1,84.5,,12,leganes,local
Daniel Ojeda  65',-,-,1,0,4,1,0,1,2,0,1,0,1,85.7,,12,leganes,local
Guido Carrillo,-,-,4,1,0,0,0,1,1,0,0,0,2,63.9,,12,leganes,local
Gerónimo Rulli,2,1,0,0,0,0,0,0,0,0,0,0,0,29.4,,12,real_sociedad,visitante
Diego Javier Llorente  27',-,-,0,0,0,0,0,0,0,0,1,0,0,69.2,,12,real_sociedad,visitante
Theo Hernández,-,-,0,0,0,0,0,1,1,2,3,2,0,76,,12,real_sociedad,visitante
Héctor Moreno,-,-,0,0,0,0,0,2,0,2,0,0,0,66.7,,12,real_sociedad,visitante
Joseba Zaldua,-,-,1,0,1,0,0,3,3,3,1,1,1,57.1,,12,real_sociedad,visitante
Asier Illarramendi,-,-,1,1,0,0,0,3,0,1,3,0,0,81.8,,12,real_sociedad,visitante
Igor Zubeldia,-,-,0,0,0,0,0,0,1,1,3,1,1,69.2,,12,real_sociedad,visitante
David Zurutuza  57',-,-,1,1,0,0,0,0,0,4,0,0,0,81.3,,12,real_sociedad,visitante
Mikel Oyarzabal  72',-,-,0,0,0,0,0,0,0,1,0,0,0,61.5,,12,real_sociedad,visitante
Juanmi Jiménez,-,-,2,2,0,0,0,1,2,0,2,1,0,68.2,,12,real_sociedad,visitante
Willian José,-,-,1,1,0,0,0,0,2,0,1,1,2,76,,12,real_sociedad,visitante
Fernando Pacheco,4,0,0,0,0,0,0,0,0,0,0,0,1,57.1,,13,alaves,local
Víctor Laguardia,-,-,1,0,0,0,0,2,0,2,0,0,0,62.5,,13,alaves,local
Rubén Duarte,-,-,2,1,4,1,0,3,0,1,1,0,0,69.2,,13,alaves,local
Guillermo Maripán,-,-,0,0,0,0,0,0,1,2,3,0,0,71.4,,13,alaves,local
Martín Aguirregabiria,-,-,0,0,1,0,0,1,3,1,1,1,1,82.6,,13,alaves,local
Jony Rodríguez  86',-,-,4,1,13,2,4,0,0,0,1,2,1,63.6,,13,alaves,local
Manu García,-,-,2,1,1,0,0,4,3,2,0,0,1,87.5,,13,alaves,local
Mubarak Wakaso,-,-,2,0,0,0,0,0,1,0,3,1,1,77.5,,13,alaves,local
Ibai Gómez,-,-,1,0,3,1,0,1,0,1,0,0,1,83.3,,13,alaves,local
Borja Bastón  63',-,-,0,0,0,0,0,0,3,1,1,0,0,54.5,,13,alaves,local
Rubén Sobrino  72',-,-,2,0,0,0,0,2,3,0,0,0,0,60,,13,alaves,local
Pau López,4,3,0,0,0,0,0,0,0,0,0,0,0,77.8,,13,betis,visitante
Zou Feddal,-,-,2,0,1,1,1,2,0,0,3,2,0,89.4,,13,betis,visitante
Marc Bartra,-,-,0,0,0,0,0,3,2,1,1,0,0,90,,13,betis,visitante
Junior Firpo,-,-,0,0,6,1,3,2,0,1,0,0,0,78.3,,13,betis,visitante
Aissa Mandi,-,-,0,0,0,0,0,0,1,2,2,0,0,97.2,,13,betis,visitante
Francis Guerrero  75',-,-,1,1,3,0,0,0,1,1,0,0,1,84.8,,13,betis,visitante
Sergio Canales,-,-,2,0,4,2,2,2,4,0,0,2,4,89.4,,13,betis,visitante
Takashi Inui  60',-,-,1,0,1,1,0,1,2,0,0,0,1,75,,13,betis,visitante
