Titulares,P,CA,T,TaP,C,CP,CF,FR,FC,PI,BR,Reg,PA,P%,Eventos,partido,equipo,localizacion
Rubén Rochina  78',-,-,4,2,3,0,0,0,2,2,2,4,0,74.3,,309,levante,local
José Campaña,-,-,1,0,7,2,1,1,0,2,2,0,2,86.8,,309,levante,local
Roger Martí,-,-,2,2,3,1,0,1,1,0,0,2,0,90,,309,levante,local
José Luis Morales,-,-,3,2,1,0,3,3,4,0,0,1,1,61.9,,309,levante,local
Roberto Santamaría,6,0,0,0,0,0,0,0,0,0,0,0,0,56.5,,309,huesca,visitante
Jorge Pulido,-,-,0,0,1,1,0,1,1,1,1,0,1,55,,309,huesca,visitante
Adrián Diéguez,-,-,0,0,0,0,0,1,1,3,2,1,0,82.8,,309,huesca,visitante
Javi Galán,-,-,0,0,4,0,0,3,0,1,4,1,2,60.9,,309,huesca,visitante
Martín Mantovani,-,-,0,0,0,0,0,2,2,3,4,0,0,76.9,,309,huesca,visitante
Moi Gómez,-,-,1,0,1,0,0,1,0,0,1,0,2,83.3,,309,huesca,visitante
Christian Rivera,-,-,0,0,1,0,0,0,0,0,2,0,1,77.5,,309,huesca,visitante
Yangel Herrera  57',-,-,0,0,0,0,0,2,2,1,1,2,1,54.5,,309,huesca,visitante
Cucho Hernández  45',-,-,2,0,0,0,0,2,2,0,0,1,0,37.5,,309,huesca,visitante
Chimy Ávila  87',-,-,2,1,5,2,0,2,1,1,0,1,3,60,,309,huesca,visitante
Enric Gallego,-,-,7,2,1,1,0,1,2,0,3,0,0,56.5,,309,huesca,visitante
Pau López,3,2,0,0,0,0,0,0,0,0,0,0,0,60,,310,betis,local
Zou Feddal,-,-,1,0,0,0,0,0,4,0,2,1,0,89.1,,310,betis,local
Marc Bartra,-,-,1,0,0,0,0,1,1,2,1,0,0,87.8,,310,betis,local
Aissa Mandi,-,-,0,0,0,0,1,1,4,2,1,0,0,92.5,,310,betis,local
Emerson de Souza,-,-,2,1,3,0,1,3,0,1,4,0,1,83.9,,310,betis,local
Sergio Canales  66',-,-,2,0,3,2,1,2,0,0,1,5,3,92.1,,310,betis,local
Cristian Tello,-,-,4,3,3,1,1,2,0,0,0,3,2,84.2,,310,betis,local
William Carvalho,-,-,1,0,0,0,0,1,2,0,1,1,0,87.1,,310,betis,local
Andrés Guardado,-,-,0,0,0,0,0,1,1,1,2,0,3,95.9,,310,betis,local
Giovani Lo Celso  72',-,-,4,3,0,0,0,2,0,0,0,1,1,81.3,,310,betis,local
Jesé Rodríguez  79',-,-,2,0,0,0,0,0,1,0,1,4,2,73.9,,310,betis,local
Sergio Asenjo,4,0,0,0,0,0,0,0,0,1,0,0,0,59.1,,310,villarreal,visitante
Mario Gaspar,-,-,1,0,2,1,2,0,3,1,3,0,1,79.4,,310,villarreal,visitante
Ramiro Funes Mori,-,-,2,1,0,0,0,0,0,2,1,0,0,66.7,,310,villarreal,visitante
